batch size,epoch,loss,acc,val_loss,val_acc,
16,0006,0.0247,0.9906,0.0322,0.9886,
16,0007,0.0242,0.9908,0.0285,0.9909,
16,0008,0.0229,0.9916,0.0281,0.9906,
16,0009,0.0226,0.9917,0.0268,0.9904,
16,0010,0.0218,0.9915,0.0283,0.9907,
16,0011,0.0209,0.9918,0.0308,0.9903,
16,0012,0.0202,0.992,0.0254,0.9912,
16,0013,0.0201,0.9921,0.0259,0.992,
16,0014,0.0191,0.9924,0.0259,0.992,
16,0015,0.0194,0.9923,0.0272,0.9915,
16,0016,0.0188,0.9925,0.0239,0.9915,
16,0017,0.0185,0.9928,0.025,0.9919,
16,0018,0.0181,0.9932,0.0263,0.9919,
16,0019,0.0176,0.9932,0.0239,0.9916,
16,0020,0.0168,0.9933,0.0258,0.9917,
16,0021,0.0169,0.9934,0.0276,0.991,
16,0022,0.0165,0.9937,0.0256,0.9913,
16,0023,0.0165,0.9935,0.0272,0.9913,
16,0024,0.0162,0.9934,0.0262,0.9912,
16,0025,0.0157,0.9939,0.0251,0.9911,
16,0026,0.016,0.9936,0.0268,0.9913,
16,0027,0.0159,0.9936,0.0253,0.9913,
16,0028,0.0151,0.9941,0.0255,0.9918,
16,0029,0.0148,0.9941,0.0265,0.9916,
16,0030,0.0145,0.994,0.0264,0.9921,
16,0031,0.0144,0.9942,0.0264,0.9918,
16,0032,0.0145,0.9939,0.0262,0.9919,
16,0033,0.0142,0.9941,0.0268,0.9913,
16,0034,0.0141,0.9944,0.027,0.9916,
16,0035,0.0141,0.9943,0.0261,0.9919,
16,0036,0.0137,0.9944,0.0266,0.9917,
16,0037,0.0138,0.9944,0.0267,0.9919,
16,0038,0.0135,0.9947,0.0279,0.9911,
16,0039,0.0136,0.9947,0.0263,0.9916,
16,0040,0.013,0.9948,0.0281,0.9913,
16,0041,0.013,0.9948,0.0281,0.9918,
16,0042,0.0117,0.9952,0.0275,0.9922,
16,0043,0.012,0.995,0.0276,0.992,
16,0044,0.0118,0.9952,0.0275,0.9919,
16,0045,0.0118,0.9953,0.0278,0.9921,
16,0046,0.0111,0.9957,0.028,0.9922,
16,0047,0.0117,0.9952,0.0282,0.9922,
16,0048,0.0115,0.9956,0.0282,0.992,
16,0049,0.0118,0.9953,0.0283,0.9921,
16,0050,0.0114,0.9952,0.0285,0.992,
16,0051,0.0114,0.9953,0.0286,0.9923,
16,0052,0.0115,0.9954,0.0287,0.9922,
16,0053,0.0111,0.9956,0.0288,0.9921,
16,0054,0.0114,0.9955,0.0289,0.9922,
16,0055,0.0111,0.9955,0.0292,0.9922,
16,0056,0.0111,0.9956,0.0292,0.9922,
16,0057,0.0115,0.9955,0.0293,0.9923,
16,0058,0.0109,0.9956,0.0293,0.9923,
16,0059,0.0108,0.9954,0.0293,0.9922,
16,0060,0.0108,0.9958,0.0294,0.9922,
16,0061,0.0106,0.9955,0.0295,0.9919,
16,0062,0.0111,0.9957,0.0295,0.992,
16,0063,0.0111,0.9953,0.0293,0.992,
16,0064,0.011,0.9956,0.0293,0.992,
16,0065,0.0105,0.9958,0.0294,0.992,
16,0066,0.0109,0.9955,0.0294,0.9921,
16,0067,0.0113,0.9956,0.0295,0.992,
16,0068,0.0108,0.9957,0.0295,0.9921,
16,0069,0.0107,0.9955,0.0296,0.9922,
16,0070,0.0113,0.9954,0.0293,0.9922,
16,0071,0.0111,0.9955,0.0295,0.9922,
16,0072,0.0112,0.9955,0.0294,0.992,
16,0073,0.0108,0.9957,0.0296,0.9922,
16,0074,0.0107,0.9955,0.0295,0.992,
16,0075,0.0111,0.9957,0.0294,0.9922,
