batch size,epoch,loss,acc,val_loss,val_acc,
2,0023,7.9634,0.5059,7.9632,0.5059,
2,0024,7.9636,0.5059,7.9632,0.5059,
2,0025,7.9636,0.5059,7.9632,0.5059,
2,0026,7.9636,0.5059,7.9632,0.5059,
2,0027,7.9636,0.5059,7.9632,0.5059,
2,0028,7.9636,0.5059,7.9632,0.5059,
2,0029,7.9634,0.5059,7.9641,0.5059,
2,0030,7.9634,0.5059,7.9641,0.5059,
2,0031,7.9634,0.5059,7.9641,0.5059,
2,0032,7.9636,0.5059,7.9641,0.5059,
2,0033,7.9634,0.5059,7.9641,0.5059,
2,0034,7.9636,0.5059,7.9632,0.5059,
2,0035,7.9634,0.5059,7.9632,0.5059,
2,0036,7.9636,0.5059,7.9632,0.5059,
2,0037,7.9634,0.5059,7.9632,0.5059,
2,0038,7.9636,0.5059,7.9632,0.5059,
2,0039,7.9636,0.5059,7.9632,0.5059,
2,0040,7.9634,0.5059,7.9632,0.5059,
2,0041,7.9636,0.5059,7.9632,0.5059,
2,0042,7.9636,0.5059,7.9632,0.5059,
2,0043,7.9636,0.5059,7.9632,0.5059,
2,0044,7.9634,0.5059,7.9632,0.5059,
2,0045,7.9634,0.5059,7.9632,0.5059,
2,0046,7.9636,0.5059,7.9632,0.5059,
2,0047,7.9636,0.5059,7.9632,0.5059,
2,0048,7.9634,0.5059,7.9632,0.5059,
2,0049,7.9636,0.5059,7.9632,0.5059,
2,0050,7.9634,0.5059,7.9632,0.5059,
2,0051,7.9636,0.5059,7.9632,0.5059,
2,0052,7.9636,0.5059,7.9632,0.5059,
2,0053,7.9634,0.5059,7.9632,0.5059,
2,0054,7.9634,0.5059,7.9632,0.5059,
2,0055,7.9634,0.5059,7.9632,0.5059,
2,0056,7.9634,0.5059,7.9632,0.5059,
2,0057,7.9634,0.5059,7.9632,0.5059,
2,0058,7.9634,0.5059,7.9632,0.5059,
2,0059,7.9634,0.5059,7.9632,0.5059,
2,0060,7.9636,0.5059,7.9632,0.5059,
2,0061,7.9634,0.5059,7.9632,0.5059,
2,0062,7.9636,0.5059,7.9632,0.5059,
2,0063,7.9636,0.5059,7.9641,0.5059,
2,0064,7.9636,0.5059,7.9641,0.5059,
2,0065,7.9636,0.5059,7.9641,0.5059,
2,0066,7.9636,0.5059,7.9641,0.5059,
2,0067,7.9636,0.5059,7.9641,0.5059,
2,0068,7.9636,0.5059,7.9641,0.5059,
2,0069,7.9636,0.5059,7.9641,0.5059,
2,0070,7.9636,0.5059,7.9641,0.5059,
2,0071,7.9634,0.5059,7.9641,0.5059,
2,0072,7.9636,0.5059,7.9641,0.5059,
2,0073,7.9636,0.5059,7.9641,0.5059,
2,0074,7.9636,0.5059,7.9641,0.5059,
2,0075,7.9634,0.5059,7.9641,0.5059,
2,0076,7.9634,0.5059,7.9641,0.5059,
2,0077,7.9636,0.5059,7.9641,0.5059,
2,0078,7.9636,0.5059,7.9641,0.5059,
2,0079,7.9634,0.5059,7.9641,0.5059,
2,0080,7.9634,0.5059,7.9632,0.5059,
2,0081,7.9634,0.5059,7.9632,0.5059,
2,0082,7.9634,0.5059,7.9632,0.5059,
2,0083,7.9636,0.5059,7.9632,0.5059,
